差分ID,物件番号,差分種別,差分検出日,参照元ファイル,更新フィールド数,更新フィールド一覧
20251207_096,100136953407,削除,2025-12-07,reins_20251206.csv,,
20251207_097,100136966583,削除,2025-12-07,reins_20251206.csv,,
20251207_098,100136966703,削除,2025-12-07,reins_20251206.csv,,
20251207_099,100136973727,削除,2025-12-07,reins_20251206.csv,,
20251207_100,100136982672,削除,2025-12-07,reins_20251206.csv,,
20251207_101,100136991667,削除,2025-12-07,reins_20251206.csv,,
20251207_102,100136991737,削除,2025-12-07,reins_20251206.csv,,
20251207_103,100137001627,削除,2025-12-07,reins_20251206.csv,,
20251207_104,100137006801,削除,2025-12-07,reins_20251206.csv,,
20251207_105,100137016793,削除,2025-12-07,reins_20251206.csv,,
20251207_106,100137017853,削除,2025-12-07,reins_20251206.csv,,
20251207_107,100137018077,削除,2025-12-07,reins_20251206.csv,,
20251207_108,100137022639,削除,2025-12-07,reins_20251206.csv,,
20251207_109,100137024933,削除,2025-12-07,reins_20251206.csv,,
20251207_110,100137025646,削除,2025-12-07,reins_20251206.csv,,
20251207_111,100137027299,削除,2025-12-07,reins_20251206.csv,,
20251207_112,100137032717,削除,2025-12-07,reins_20251206.csv,,
20251207_113,100137033363,削除,2025-12-07,reins_20251206.csv,,
20251207_114,100137033960,削除,2025-12-07,reins_20251206.csv,,
20251207_115,100137034191,削除,2025-12-07,reins_20251206.csv,,
20251207_116,100137035257,削除,2025-12-07,reins_20251206.csv,,
20251207_117,100137039502,削除,2025-12-07,reins_20251206.csv,,
20251207_118,200134931554,削除,2025-12-07,reins_20251206.csv,,
20251207_119,300137025672,削除,2025-12-07,reins_20251206.csv,,
20251207_120,100133592705,新規,2025-12-07,reins_20251207.csv,,
20251207_121,100135047780,新規,2025-12-07,reins_20251207.csv,,
20251207_122,100137048531,新規,2025-12-07,reins_20251207.csv,,
20251207_123,100137048756,新規,2025-12-07,reins_20251207.csv,,
20251207_124,100137049004,新規,2025-12-07,reins_20251207.csv,,
20251207_125,100137049023,新規,2025-12-07,reins_20251207.csv,,
20251207_126,100137049024,新規,2025-12-07,reins_20251207.csv,,
20251207_127,100137049027,新規,2025-12-07,reins_20251207.csv,,
20251207_128,100137049042,新規,2025-12-07,reins_20251207.csv,,
20251207_129,100137049043,新規,2025-12-07,reins_20251207.csv,,
20251207_130,100137049549,新規,2025-12-07,reins_20251207.csv,,
20251207_131,100137049673,新規,2025-12-07,reins_20251207.csv,,
20251207_132,100137050030,新規,2025-12-07,reins_20251207.csv,,
20251207_133,100137050561,新規,2025-12-07,reins_20251207.csv,,
20251207_134,100137050584,新規,2025-12-07,reins_20251207.csv,,
20251207_135,100137050638,新規,2025-12-07,reins_20251207.csv,,
20251207_136,100137050640,新規,2025-12-07,reins_20251207.csv,,
20251207_137,100137050669,新規,2025-12-07,reins_20251207.csv,,
20251207_138,100137050793,新規,2025-12-07,reins_20251207.csv,,
20251207_139,100137050845,新規,2025-12-07,reins_20251207.csv,,
20251207_140,100137050905,新規,2025-12-07,reins_20251207.csv,,
20251207_141,100137051054,新規,2025-12-07,reins_20251207.csv,,
20251207_142,100137051086,新規,2025-12-07,reins_20251207.csv,,
20251207_143,100137051094,新規,2025-12-07,reins_20251207.csv,,
